시도,시군구,생년,RFID구분,축종,품종,마릿수
"충청남도","천안시","2014","외장형","개","미디엄 푸들",2
"충청남도","천안시","2014","인식표","개","미디엄 푸들",1
"충청남도","천안시","2014","외장형","개","믹스견",117
"충청남도","천안시","2014","인식표","개","믹스견",64
"충청남도","천안시","2014","내장형","개","믹스견",110
"충청남도","천안시","2014","외장형","개","베들링턴 테리어",1
"충청남도","천안시","2014","인식표","개","베들링턴 테리어",1
"충청남도","천안시","2014","내장형","개","베들링턴 테리어",1
"충청남도","천안시","2014","내장형","개","벨기에 그로넨달",1
"충청남도","천안시","2014","외장형","개","보더 콜리",2
"충청남도","천안시","2014","인식표","개","보더 콜리",3
"충청남도","천안시","2014","내장형","개","보더 콜리",4
"충청남도","천안시","2014","외장형","개","보스턴 테리어",5
"충청남도","천안시","2014","인식표","개","보스턴 테리어",1
"충청남도","천안시","2014","내장형","개","보스턴 테리어",7
"충청남도","천안시","2014","내장형","개","불 테리어",1
"충청남도","천안시","2014","외장형","개","불독",1
"충청남도","천안시","2014","내장형","개","불독",3
"충청남도","천안시","2014","인식표","개","비글",1
"충청남도","천안시","2014","내장형","개","비글",3
"충청남도","천안시","2014","외장형","개","비숑 프리제",12
"충청남도","천안시","2014","인식표","개","비숑 프리제",4
"충청남도","천안시","2014","내장형","개","비숑 프리제",28
"충청남도","천안시","2014","외장형","개","빠삐용",1
"충청남도","천안시","2014","인식표","개","빠삐용",1
"충청남도","천안시","2014","내장형","개","빠삐용",2
"충청남도","천안시","2014","외장형","개","사모예드",2
"충청남도","천안시","2014","인식표","개","사모예드",1
"충청남도","천안시","2014","내장형","개","사모예드",6
"충청남도","천안시","2014","외장형","개","삽살개",4
"충청남도","천안시","2014","인식표","개","삽살개",1
"충청남도","천안시","2014","내장형","개","삽살개",3
"충청남도","천안시","2014","내장형","개","샤페이",1
"충청남도","천안시","2014","외장형","개","셔틀랜드 쉽독",2
"충청남도","천안시","2014","인식표","개","셔틀랜드 쉽독",1
"충청남도","천안시","2014","내장형","개","셔틀랜드 쉽독",3
"충청남도","천안시","2014","외장형","개","셰퍼드",1
"충청남도","천안시","2014","내장형","개","셰퍼드",1
"충청남도","천안시","2014","외장형","개","슈나우져",7
"충청남도","천안시","2014","인식표","개","슈나우져",6
"충청남도","천안시","2014","내장형","개","슈나우져",9
"충청남도","천안시","2014","외장형","개","스탠다드 푸들",3
"충청남도","천안시","2014","내장형","개","스탠다드 푸들",3
"충청남도","천안시","2014","외장형","개","스피츠",39
"충청남도","천안시","2014","인식표","개","스피츠",14
"충청남도","천안시","2014","내장형","개","스피츠",60
"충청남도","천안시","2014","외장형","개","시바",1
"충청남도","천안시","2014","인식표","개","시바",2
"충청남도","천안시","2014","내장형","개","시바",1
"충청남도","천안시","2014","외장형","개","시베리안 허스키",3
"충청남도","천안시","2014","내장형","개","시베리안 허스키",6
"충청남도","천안시","2018","인식표","개","캐벌리어 킹 찰스 스파니엘",1
"충청남도","천안시","2018","내장형","개","캐벌리어 킹 찰스 스파니엘",2
"충청남도","천안시","2018","외장형","개","코카 스파니엘",8
"충청남도","천안시","2018","인식표","개","코카 스파니엘",5
"충청남도","천안시","2018","내장형","개","코카 스파니엘",6
"충청남도","천안시","2018","외장형","개","토이 푸들",25
"충청남도","천안시","2018","인식표","개","토이 푸들",15
"충청남도","천안시","2018","내장형","개","토이 푸들",25
"충청남도","천안시","2018","내장형","개","티베탄 마스티프",1
"충청남도","천안시","2018","외장형","개","퍼그",3
"충청남도","천안시","2018","인식표","개","퍼그",2
"충청남도","천안시","2018","내장형","개","퍼그",11
"충청남도","천안시","2018","외장형","개","페키니즈",4
"충청남도","천안시","2018","인식표","개","페키니즈",3
"충청남도","천안시","2018","내장형","개","페키니즈",5
"충청남도","천안시","2018","외장형","개","포메라니안",94
"충청남도","천안시","2018","인식표","개","포메라니안",68
"충청남도","천안시","2018","내장형","개","포메라니안",229
"충청남도","천안시","2018","내장형","개","포인터",4
"충청남도","천안시","2018","외장형","개","푸들",111
"충청남도","천안시","2018","인식표","개","푸들",79
"충청남도","천안시","2018","내장형","개","푸들",335
"충청남도","천안시","2018","외장형","개","풍산견",3
"충청남도","천안시","2018","인식표","개","풍산견",2
"충청남도","천안시","2018","내장형","개","풍산견",6
"충청남도","천안시","2018","외장형","개","프렌치 불독",17
"충청남도","천안시","2018","인식표","개","프렌치 불독",8
"충청남도","천안시","2018","내장형","개","프렌치 불독",35
"충청남도","천안시","2018","인식표","개","핏불테리어",1
"충청남도","천안시","2018","내장형","개","핏불테리어",1
"충청남도","천안시","2018","내장형","개","화이트테리어",2
"충청남도","천안시","2018","인식표","개","휘펫",1
"충청남도","천안시","2018","내장형","개","휘펫",1
"충청남도","천안시","2019","외장형","개","골든 리트리버",11
"충청남도","천안시","2024","외장형","개","믹스견",3
"충청남도","천안시","2024","외장형","개","웰시 코기 펨브로크",1
"충청남도","천안시","2024","내장형","개","진도견",1
"충청남도","천안시","2024","외장형","개","포메라니안",1
"충청남도","천안시","2016","내장형","개","라브라도 리트리버",15
