"행정구역(시군구)별",2024.04,2024.05,2024.06,2024.07,2018,2019,2020,2021,2022,2023
"칠곡군",54324,54303,54219,54197,52599,52659,53026,53883,54443,54578
"예천군",28183,28180,28157,28129,25273,26453,27301,27771,28155,28145
"봉화군",16814,16791,16759,16746,16705,16705,16908,16882,16830,16823
"울진군",25535,25559,25554,25559,25137,25244,25562,25535,25462,25527
"울릉군",5664,5669,5689,5718,5490,5426,5312,5258,5479,5605
"경상남도",1530698,1531758,1532659,1534273,1425271,1450822,1484601,1505971,1516930,1525502
"창원시",458161,458565,458944,459271,425771,431382,442097,451940,456191,456830
"의창구",97214,97224,97090,97001,102538,106817,111656,95630,96712,96997
"성산구",106228,106471,106978,107342,85722,85420,86158,105052,106194,106216
"마산합포구",86318,86410,86449,86583,78259,78684,80142,84087,84722,85763
"마산회원구",82751,82723,82680,82614,81278,80629,82303,82405,82697,82225
"진해구",85650,85737,85747,85731,77974,79832,81838,84766,85866,85629
"진주시",160582,160766,160961,161233,145153,149078,154197,157292,158827,159833
"통영시",59483,59462,59498,59497,59125,59423,59813,59738,59506,59466
"사천시",55442,55476,55485,55505,52184,52503,53509,53944,54395,55125
"사천남양출장소",0,0,0,0,-,-,0,-,0,0
"김해시",232841,233026,233152,233318,208710,217228,223242,225984,228540,231783
"장유출장소",0,0,0,0,-,-,0,-,0,0
"밀양시",54021,54005,54025,54046,51044,51541,52673,53120,53674,53906
"거제시",105130,105252,105136,105492,100775,101969,103779,103674,103495,104565
"양산시",159726,159978,160410,160900,141871,145297,149595,153732,155897,158640
"양산시웅상출장소",0,0,0,0,-,-,0,-,0,0
"의령군",14927,14921,14903,14914,14587,14577,14917,15010,15098,14923
"함안군",30456,30415,30420,30402,30989,30910,31056,30978,30808,30566
"창녕군",32065,32040,32030,32021,31429,31504,32203,32469,32198,32027
"고성군",26431,26436,26374,26484,25842,25882,26222,26318,26564,26546
"남해군",22445,22449,22427,22424,22255,22612,22780,22786,22774,22534
"하동군",23572,23562,23539,23521,23631,23738,23796,23769,23675,23567
"산청군",19658,19661,19659,19649,18856,19040,19454,19600,19576,19639
"함양군",20621,20601,20582,20566,20159,20427,20754,20840,20868,20679
"거창군",31223,31221,31219,31194,28814,29538,30253,30564,30659,30934
"합천군",23914,23922,23895,23836,24076,24173,24261,24213,24185,23939
"제주특별자치도",313797,314094,314321,314519,287104,293155,302033,307529,311355,313155
"제주시",224974,225139,225423,225640,204621,209439,216202,219978,222599,224433
"서귀포시",88823,88955,88898,88879,82483,83716,85831,87551,88756,88722
